English_Name,Roman_Urdu_Hindi_Common,Next_Steps
Apple___Apple_scab,Seb ka daag (Apple scab),1) Bimar pattay tor kar door karein. 2) Bagiche ki safai rakhein. 3) Zarurat par spray karein.
Apple___Black_rot,Seb ka kala saṛan (Black rot),1) Bimar phal aur shakhain hatayein. 2) Paudon ka fasla rakhein. 3) Safai aur hawadari behtar banayein.
Apple___Cedar_apple_rust,Seb par zang (Cedar apple rust),1) Nazdeek ke cedar pauday hatayein. 2) Pauday ki safai rakhein. 3) Zarurat par spray karein.
Apple___healthy,Seb tandurust,1) Acha pani aur khaad dete rahein. 2) Paudon ki rozana dekh bhaal karein. 3) Bagiche ki safai rakhein.
Blueberry___healthy,Blueberry tandurust,1) Pani aur khaad ka theek nizam rakhein. 2) Jhaaron ko trim karte rahein. 3) Bagiche ki safai rakhein.
Cherry_(including_sour)___Powdery_mildew,Cherry par safed phaphondi,1) Bimar pattay tod kar door karein. 2) Paudon ka fasla rakhein. 3) Zyada nami se bachao karein.
Cherry_(including_sour)___healthy,Cherry tandurust,1) Rozana dekh bhaal jari rakhein. 2) Safai aur paani ka nizam theek rakhein. 3) Healthy beej lagayein.
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Makai par daag (Cercospora/Gray leaf spot),1) Crop rotation karein. 2) Baki faslon ka kachra hata dein. 3) Mazboot variety lagayein.
Corn_(maize)___Common_rust_,Makai ka zang (Common rust),1) Resistant variety lagayein. 2) Bimar pattay nikal dein. 3) Crop rotation karein.
Corn_(maize)___Northern_Leaf_Blight,Makai ka shimali patta jhulsna,1) Faslon ki ghanat kam karein. 2) Bimar pattay door karein. 3) Crop rotation karein.
Corn_(maize)___healthy,Makai tandurust,1) Acha paani dete rahein. 2) Ghaas-phoos saaf karein. 3) Behtar beej lagayein.
Grape___Black_rot,Angoor ka kala saṛan,1) Bimar phal hatayein. 2) Bagiche ki safai rakhein. 3) Hawa daar jagah banayein.
Grape___Esca_(Black_Measles),Angoor ki Esca/kala daag,1) Purane aur bimar hisse kaat kar door karein. 2) Bagiche ki safai karein. 3) Mazboot variety lagayein.
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Angoor ka patta jalna/daag,1) Bimar pattay tor kar door karein. 2) Crop ka kachra saaf karein. 3) Hawa dari rakhein.
Grape___healthy,Angoor tandurust,1) Pani aur khaad ka nizam theek rakhein. 2) Bagiche ki safai jari rakhein. 3) Rozana dekh bhaal karein.
Orange___Haunglongbing_(Citrus_greening),Malta me hara marz (Citrus greening),1) Bimar pauday nikal dein. 2) Insects se bachao karein. 3) Resistant variety lagayein.
Peach___Bacterial_spot,Aaru par bacterial daag,1) Bimar pattay aur phal nikal dein. 2) Bagiche ki safai rakhein. 3) Hawa dari behtar banayein.
Peach___healthy,Aaru tandurust,1) Beej aur pauday ki sehat check karte rahein. 2) Safai aur pani ka nizam rakhein. 3) Ghaas-phoos saaf karein.
"Pepper,_bell___Bacterial_spot",Shimla mirch par bacterial daag,1) Bimar pattay tor kar door karein. 2) Crop ka kachra saaf karein. 3) Mazboot variety lagayein.
"Pepper,_bell___healthy",Shimla mirch tandurust,1) Rozana paani aur khaad ka nizam rakhein. 2) Pauday ki safai rakhein. 3) Beej ki sehat check karein.
Potato___Early_blight,Aloo ka jaldi jhulsna,1) Bimar pattay door karein. 2) Zyada nami se bachayein. 3) Crop rotation karein.
Potato___Late_blight,Aloo ka dair se jhulsna,1) Bimar pauday nikal dein. 2) Zyada paani dena kam karein. 3) Faslon ka fasla rakhein.
Potato___healthy,Aloo tandurust,1) Paani aur khaad ka nizam rakhein. 2) Rozana dekh bhaal karein. 3) Safai jari rakhein.
Raspberry___healthy,Raspberry tandurust,1) Paani ka nizam theek rakhein. 2) Jhaaron ko trim karte rahein. 3) Bagiche ki safai rakhein.
Soybean___healthy,Soybean tandurust,1) Weed control karein. 2) Paani aur khaad ka nizam theek rakhein. 3) Crop rotation follow karein.
Squash___Powdery_mildew,Squash par safed phaphondi,1) Bimar pattay door karein. 2) Pauday ki safai rakhein. 3) Zyada nami se bachayein.
Strawberry___Leaf_scorch,Strawberry ke patton ka jhulasna,1) Bimar pattay tor kar door karein. 2) Zyada dhoop se bachayein. 3) Paani ka nizam behtar karein.
