year,week_number,date,market_location,commodity,base_price_pkr_per_40kg,inflation_rate_percent,predicted_price_pkr_per_40kg
2024,52,2024-12-29,Faisalabad,Cotton,2368,9.893925954673444,2602.29
2024,52,2024-12-29,Faisalabad,Maize,2621,1.5608325415924416,2661.91
2024,52,2024-12-29,Faisalabad,Rice,1996,3.249980038003366,2060.87
2024,52,2024-12-29,Faisalabad,Sugarcane,1529,-7.89882203698359,1408.23
2024,52,2024-12-29,Faisalabad,Vegetables,1669,-3.061267863114025,1617.91
2024,52,2024-12-29,Faisalabad,Wheat,2090,-6.474425274082392,1954.68
2024,52,2024-12-29,Karachi,Cotton,2217,7.636526162196141,2386.3
2024,52,2024-12-29,Karachi,Maize,1189,-0.2759772946272967,1185.72
2024,52,2024-12-29,Karachi,Rice,2119,4.74290207584944,2219.5
2024,52,2024-12-29,Karachi,Sugarcane,2371,12.840300236168227,2675.44
2024,52,2024-12-29,Karachi,Vegetables,1184,-9.656687359666163,1069.66
2024,52,2024-12-29,Karachi,Wheat,2473,3.1429367813950924,2550.72
2024,52,2024-12-29,Lahore,Cotton,2405,2.544837079819084,2466.2
2024,52,2024-12-29,Lahore,Maize,2575,-0.391969835167132,2564.91
2024,52,2024-12-29,Lahore,Rice,1689,-6.398389903725922,1580.93
2024,52,2024-12-29,Lahore,Sugarcane,2180,5.129537893465437,2291.82
2024,52,2024-12-29,Lahore,Vegetables,1848,-2.315629574182691,1805.21
2024,52,2024-12-29,Lahore,Wheat,2079,4.579048202696036,2174.2
2024,52,2024-12-29,Multan,Cotton,2248,-7.191685273939697,2086.33
2024,52,2024-12-29,Multan,Maize,1729,1.191624259660198,1749.6
2024,52,2024-12-29,Multan,Rice,1342,-9.79273186818941,1210.58
2024,52,2024-12-29,Multan,Sugarcane,2146,7.223540906517812,2301.02
2024,52,2024-12-29,Multan,Vegetables,1520,-8.319157855965791,1393.55
2024,52,2024-12-29,Multan,Wheat,2616,6.048122372037902,2774.22
2024,52,2024-12-29,Peshawar,Cotton,2489,4.653776488556191,2604.83
2024,52,2024-12-29,Peshawar,Maize,1827,-2.9268337950671888,1773.53
2024,52,2024-12-29,Peshawar,Rice,1657,-3.336697093280739,1601.71
2024,52,2024-12-29,Peshawar,Sugarcane,1370,0.6115466310057873,1378.38
2024,52,2024-12-29,Peshawar,Vegetables,1861,-3.717667517630577,1791.81
2024,52,2024-12-29,Peshawar,Wheat,2361,-2.4254762454460352,2303.73
2024,52,2024-12-29,Quetta,Cotton,1256,-2.8738250935389136,1219.9
2024,52,2024-12-29,Quetta,Maize,2478,5.638563677846093,2617.72
2024,52,2024-12-29,Quetta,Rice,2017,-2.001098165115208,1976.64
2024,52,2024-12-29,Quetta,Sugarcane,2112,1.677475118637985,2147.43
2024,52,2024-12-29,Quetta,Vegetables,2641,6.07970778154401,2801.57
2024,52,2024-12-29,Quetta,Wheat,1885,6.762984711188456,2012.48
2025,1,2025-01-05,Faisalabad,Cotton,2368,10.09342695803738,2607.01
2025,1,2025-01-05,Faisalabad,Maize,2621,1.596566620666629,2662.85
2025,1,2025-01-05,Faisalabad,Rice,1996,3.319158870376914,2062.25
2025,1,2025-01-05,Faisalabad,Sugarcane,1529,-8.042459478692093,1406.03
2025,1,2025-01-05,Faisalabad,Vegetables,1669,-3.1120499148796945,1617.06
2025,1,2025-01-05,Faisalabad,Wheat,2090,-6.587038593286369,1952.33
2025,1,2025-01-05,Karachi,Cotton,2217,7.789697243334413,2389.7
2025,1,2025-01-05,Karachi,Maize,1189,-0.2564765758554965,1185.95
2025,1,2025-01-05,Karachi,Rice,2119,4.838706577165981,2221.53
2025,1,2025-01-05,Karachi,Sugarcane,2371,13.092521729234663,2681.42
2025,1,2025-01-05,Karachi,Vegetables,1184,-9.83329242644616,1067.57
2025,1,2025-01-05,Karachi,Wheat,2473,3.208487750525677,2552.35
2025,1,2025-01-05,Lahore,Cotton,2405,2.602230288614892,2467.58
2025,1,2025-01-05,Lahore,Maize,2575,-0.3842097943104626,2565.11
2025,1,2025-01-05,Lahore,Rice,1689,-6.507390406785298,1579.09
2025,1,2025-01-05,Lahore,Sugarcane,2180,5.236184547721469,2294.15
2025,1,2025-01-05,Lahore,Vegetables,1848,-2.353038712866636,1804.52
2025,1,2025-01-05,Lahore,Wheat,2079,4.6715196931066565,2176.12
2025,1,2025-01-05,Multan,Cotton,2248,-7.317331747915794,2083.51
2025,1,2025-01-05,Multan,Maize,1729,1.2192175287344202,1750.08
2025,1,2025-01-05,Multan,Rice,1342,-9.968276792694164,1208.23
2025,1,2025-01-05,Multan,Sugarcane,2146,7.369469605597673,2304.15
2025,1,2025-01-05,Multan,Vegetables,1520,-8.470236334073256,1391.25
2025,1,2025-01-05,Multan,Wheat,2616,6.170546229777396,2777.42
2025,1,2025-01-05,Peshawar,Cotton,2489,4.767742755356887,2607.67
2025,1,2025-01-05,Peshawar,Maize,1827,-2.9746947935688617,1772.65
2025,1,2025-01-05,Peshawar,Rice,1657,-3.40832675396405,1600.52
2025,1,2025-01-05,Peshawar,Sugarcane,1370,0.6270040612694099,1378.59
2025,1,2025-01-05,Peshawar,Vegetables,1861,-3.780662481997105,1790.64
2025,1,2025-01-05,Peshawar,Wheat,2361,-2.452721567859448,2303.09
2025,1,2025-01-05,Quetta,Cotton,1256,-2.921970415092848,1219.3
2025,1,2025-01-05,Quetta,Maize,2478,5.751085671813886,2620.51
2025,1,2025-01-05,Quetta,Rice,2017,-2.030182822833704,1976.05
2025,1,2025-01-05,Quetta,Sugarcane,2112,1.716166110481546,2148.25
2025,1,2025-01-05,Quetta,Vegetables,2641,6.203255078683167,2804.83
2025,1,2025-01-05,Quetta,Wheat,1885,6.899841916798696,2015.06
2025,2,2025-01-12,Faisalabad,Cotton,2368,10.292927961398371,2611.74
2025,2,2025-01-12,Faisalabad,Maize,2621,1.6323006997368903,2663.78
2025,2,2025-01-12,Faisalabad,Rice,1996,3.388337702747081,2063.63
2025,2,2025-01-12,Faisalabad,Sugarcane,1529,-8.186096920408026,1403.83
2025,2,2025-01-12,Faisalabad,Vegetables,1669,-3.1628319666514044,1616.21
2025,2,2025-01-12,Faisalabad,Wheat,2090,-6.699651912498676,1949.98
2025,2,2025-01-12,Karachi,Cotton,2217,7.942868324470808,2393.09
2025,2,2025-01-12,Karachi,Maize,1189,-0.2369758570887541,1186.18
2025,2,2025-01-12,Karachi,Rice,2119,4.934511078480655,2223.56
2025,2,2025-01-12,Karachi,Sugarcane,2371,13.344743222301291,2687.4
2025,2,2025-01-12,Karachi,Vegetables,1184,-10.009897493234517,1065.48
2025,2,2025-01-12,Karachi,Wheat,2473,3.274038719652849,2553.97
2025,2,2025-01-12,Lahore,Cotton,2405,2.6596234974058066,2468.96
2025,2,2025-01-12,Lahore,Maize,2575,-0.3764497534600977,2565.31
2025,2,2025-01-12,Lahore,Rice,1689,-6.616390909855151,1577.25
2025,2,2025-01-12,Lahore,Sugarcane,2180,5.34283120197388,2296.47
2025,2,2025-01-12,Lahore,Vegetables,1848,-2.3904478515557783,1803.82
2025,2,2025-01-12,Lahore,Wheat,2079,4.763991183515782,2178.04
2025,2,2025-01-12,Multan,Cotton,2248,-7.442978221901589,2080.68
2025,2,2025-01-12,Multan,Maize,1729,1.2468107978058267,1750.56
2025,2,2025-01-12,Multan,Rice,1342,-10.143821717209878,1205.87
2025,2,2025-01-12,Multan,Sugarcane,2146,7.515398304675082,2307.28
2025,2,2025-01-12,Multan,Vegetables,1520,-8.621314812188574,1388.96
2025,2,2025-01-12,Multan,Wheat,2616,6.29297008751437,2780.62
2025,2,2025-01-12,Peshawar,Cotton,2489,4.881709022152128,2610.51
2025,2,2025-01-12,Peshawar,Maize,1827,-3.0225557920769166,1771.78
2025,2,2025-01-12,Peshawar,Rice,1657,-3.479956414652749,1599.34
2025,2,2025-01-12,Peshawar,Sugarcane,1370,0.6424614915309363,1378.8
2025,2,2025-01-12,Peshawar,Vegetables,1861,-3.8436574463700337,1789.47
2025,2,2025-01-12,Peshawar,Wheat,2361,-2.479966890280502,2302.45
2025,2,2025-01-12,Quetta,Cotton,1256,-2.970115736652298,1218.7
2025,2,2025-01-12,Quetta,Maize,2478,5.863607665778594,2623.3
2025,2,2025-01-12,Quetta,Rice,2017,-2.059267480558981,1975.46
2025,2,2025-01-12,Quetta,Sugarcane,2112,1.7548571023214805,2149.06
2025,2,2025-01-12,Quetta,Vegetables,2641,6.326802375819749,2808.09
2025,2,2025-01-12,Quetta,Wheat,1885,7.036699122406716,2017.64
2025,3,2025-01-19,Faisalabad,Cotton,2368,10.492428964759364,2616.46
2025,3,2025-01-19,Faisalabad,Maize,2621,1.668034778807152,2664.72
2025,3,2025-01-19,Faisalabad,Rice,1996,3.4575165351172483,2065.01
2025,3,2025-01-19,Faisalabad,Sugarcane,1529,-8.329734362123958,1401.64
2025,3,2025-01-19,Faisalabad,Vegetables,1669,-3.213614018423114,1615.36
2025,3,2025-01-19,Faisalabad,Wheat,2090,-6.812265231710985,1947.62
2025,3,2025-01-19,Karachi,Cotton,2217,8.096039405607204,2396.49
2025,3,2025-01-19,Karachi,Maize,1189,-0.2174751383220117,1186.41
2025,3,2025-01-19,Karachi,Rice,2119,5.030315579795331,2225.59
2025,3,2025-01-19,Karachi,Sugarcane,2371,13.59696471536792,2693.38
